Adsorbate,Surface Material,LDA,PBE,RPBE,BEEF-vdW,VdW-DF2,MBEEF,MBEEF-vdW,EXX+RPA,MAGNETIC-MOMENT,Work-Function-surface
H  ,Sc  ,0.369,0.506,0.569,0.536,0.367,0.376,0.416,0.637,0,3.5
H  ,Ti  ,0.357,0.545,0.632,0.577,0.518,0.471,0.423,0.601,0,4.33
H  ,V  ,0.357,0.602,0.716,0.671,0.617,0.579,0.455,0.748,0,4.3
H  ,Cr  ,0.281,0.568,0.698,0.69,0.668,0.563,0.439,0.792,0,4.5
H  ,Mn  ,0.091,0.412,0.554,0.559,0.578,0.442,0.303,0.636,0,4.1
H  ,Fe  ,0.068,0.373,0.521,0.537,0.411,0.465,0.381,0.728,7.399,4.67
H  ,Co  ,-0.033,0.347,0.51,0.532,0.491,0.366,0.216,0.634,4.556,5
H  ,Ni  ,-0.166,0.2,0.36,0.383,0.365,0.464,0.433,0.432,1.229,5.04
H  ,Cu  ,0.421,0.769,0.925,0.999,1,0.833,0.722,0.73,0,4.53
H  ,Y  ,0.393,0.504,0.547,0.533,0.365,0.327,0.382,0.603,0,3.1
H  ,Zr  ,0.388,0.558,0.634,0.578,0.503,0.461,0.464,0.663,0,4.05
H  ,Nb  ,0.269,0.497,0.598,0.558,0.507,0.442,0.403,0.661,0,3.95
H  ,Mo  ,0.189,0.455,0.571,0.576,0.541,0.437,0.363,0.603,0,4.36
H  ,Ru  ,-0.144,0.197,0.344,0.379,0.412,0.299,0.197,0.222,0,4.71
H  ,Rh  ,-0.446,-0.077,0.077,0.122,0.184,-0.078,-0.179,0.084,0,4.98
H  ,Pd  ,-0.444,-0.044,0.125,0.229,0.226,-0.063,-0.171,-0.076,0,5.22
H  ,Ag  ,0.679,1.044,1.199,1.277,1.249,1.122,1.032,1.133,0,4.26
H  ,Hf  ,0.339,0.514,0.591,0.527,0.478,0.415,0.414,0.62,0,3.9
H  ,Ta  ,0.332,0.573,0.678,0.632,0.573,0.531,0.48,0.769,0,4
H  ,W  ,0.13,0.394,0.508,0.529,0.493,0.334,0.256,0.492,0,4.32
H  ,Re  ,-0.094,0.2,0.326,0.311,0.367,0.181,0.09,0.34,0,4.72
H  ,Os  ,-0.413,-0.1,0.032,0.093,0.161,-0.141,-0.234,-0.105,0,5.93
H  ,Ir  ,-0.809,-0.464,-0.321,-0.237,-0.162,-0.547,-0.644,-0.448,0,5
H  ,Pt  ,-0.841,-0.461,-0.305,-0.189,-0.126,-0.586,-0.686,-0.462,0,5.12
H  ,Au  ,0.206,0.597,0.757,0.856,0.882,0.555,0.448,0.618,0,5.1
O  ,Sc  ,-2.4,-1.929,-1.708,-1.871,-2.296,-1.985,-1.856,-1.67,0,3.5
O  ,Ti  ,-2.885,-2.39,-2.163,-2.359,-2.584,-2.489,-2.483,-2.234,0,4.33
O  ,V  ,-3.215,-2.498,-2.165,-2.38,-2.606,-2.567,-2.656,-2.482,0,4.3
O  ,Cr  ,-2.322,-1.618,-1.306,-1.465,-1.673,-1.659,-1.771,-1.394,0,4.5
O  ,Mn  ,-1.839,-1.053,-0.698,-0.874,-1.037,-1.002,-1.161,-0.807,0,4.1
O  ,Fe  ,-1.397,-0.623,-0.286,-0.386,-0.867,-0.187,-0.285,-0.27,6.651,4.67
O  ,Co  ,-0.696,-0.026,0.28,0.149,-0.204,0.074,-0.11,0.169,3.651,5
O  ,Ni  ,-0.155,0.397,0.659,0.486,0.243,0.41,0.227,0.467,0.318,5.04
O  ,Cu  ,0.885,1.293,1.516,1.404,1.041,1.603,1.5,0.943,0,4.53
O  ,Y  ,-2.307,-1.937,-1.781,-1.861,-2.233,-2.071,-1.932,-1.761,0,3.1
O  ,Zr  ,-3.06,-2.562,-2.345,-2.536,-2.773,-2.67,-2.619,-2.502,0,4.05
O  ,Nb  ,-3.479,-2.888,-2.631,-2.837,-3.012,-3.018,-3.044,-2.866,0,3.95
O  ,Mo  ,-2.94,-2.283,-2.001,-2.174,-2.315,-2.361,-2.447,-2.272,0,4.36
O  ,Ru  ,-1.234,-0.581,-0.296,-0.406,-0.563,-0.478,-0.602,-0.585,0,4.71
O  ,Rh  ,-0.855,-0.213,0.074,0.008,-0.17,-0.025,-0.121,-0.235,0,4.98
O  ,Pd  ,0.116,0.638,0.889,0.843,0.553,0.842,0.733,0.4,0,5.22
O  ,Ag  ,1.791,2.051,2.201,2.123,1.703,2.408,2.363,1.721,0,4.26
O  ,Hf  ,-2.693,-2.179,-1.954,-2.11,-2.432,-2.344,-2.341,-2.152,0,3.9
O  ,Ta  ,-3.226,-2.606,-2.341,-2.52,-2.763,-2.736,-2.802,-2.628,0,4
O  ,W  ,-3.099,-2.43,-2.153,-2.299,-2.441,-2.579,-2.683,-2.499,0,4.32
O  ,Re  ,-2.284,-1.59,-1.304,-1.446,-1.509,-1.668,-1.785,-1.624,0,4.72
O  ,Os  ,-1.584,-0.922,-0.644,-0.725,-0.801,-0.956,-1.069,-1.037,0,5.93
O  ,Ir  ,-1.476,-0.845,-0.576,-0.621,-0.754,-0.811,-0.926,-0.8,0,5
O  ,Pt  ,-0.484,0.089,0.346,0.273,0.119,0.174,0.068,0.016,0,5.12
O  ,Au  ,1.644,1.973,2.143,2.08,1.728,2.23,2.143,1.733,0,5.1
N  ,Sc  ,2.877,3.104,3.238,3.165,2.791,3.332,3.363,3.316,0,3.5
N  ,Ti  ,1.973,2.318,2.494,2.382,2.227,2.468,2.411,2.568,0,4.33
N  ,V  ,1.142,1.724,1.997,1.871,1.778,1.83,1.696,2.104,0,4.3
N  ,Cr  ,1.066,1.703,1.985,1.864,1.876,1.72,1.551,2.192,0,4.5
N  ,Mn  ,1.056,1.816,2.146,2.029,2.08,1.932,1.735,2.303,0,4.1
N  ,Fe  ,1.077,1.862,2.177,2.128,nan  ,2.351,2.253,2.292,6.555,4.67
N  ,Co  ,1.715,2.33,2.609,2.536,2.365,2.782,2.617,2.684,3.563,5
N  ,Ni  ,2.278,2.824,3.086,3.025,2.908,3.367,3.252,3.083,1.323,5.04
N  ,Cu  ,3.584,3.971,4.182,4.147,3.98,4.314,4.114,3.799,0,4.53
N  ,Y  ,3.113,3.297,3.394,3.384,3.047,3.487,3.564,3.406,0,3.1
N  ,Zr  ,1.949,2.334,2.509,2.392,2.288,2.446,2.452,2.734,0,4.05
N  ,Nb  ,0.915,1.427,1.648,1.518,1.511,1.43,1.381,1.749,0,3.95
N  ,Mo  ,0.637,1.218,1.464,1.338,1.395,1.225,1.117,1.502,0,4.36
N  ,Ru  ,1.399,2.038,2.309,2.25,2.326,2.118,1.939,2.226,0,4.71
N  ,Rh  ,1.666,2.324,2.607,2.604,2.667,2.452,2.293,2.441,0,4.98
N  ,Pd  ,2.606,3.147,3.399,3.437,3.342,3.401,3.226,3.039,0,5.22
N  ,Ag  ,4.798,5.066,5.221,5.209,4.942,5.492,5.348,4.957,0,4.26
N  ,Hf  ,2.225,2.563,2.728,2.655,2.434,2.639,2.587,2.659,0,3.9
N  ,Ta  ,1.337,1.848,2.07,1.974,1.874,1.839,1.722,2.097,0,4
N  ,W  ,0.761,1.344,1.585,1.517,1.534,1.229,1.075,1.496,0,4.32
N  ,Re  ,0.972,1.627,1.887,1.786,1.942,1.515,1.335,1.809,0,4.72
N  ,Os  ,1.252,1.888,2.144,2.121,2.296,1.764,1.581,1.858,0,5.93
N  ,Ir  ,1.39,2.003,2.256,2.256,2.369,1.966,1.783,2.261,0,5
N  ,Pt  ,1.989,2.56,2.81,2.854,2.869,2.643,2.464,2.58,0,5.12
N  ,Au  ,4.422,4.761,4.934,4.956,4.755,5.061,4.888,4.615,0,5.1
N2  ,Sc  ,-1.009,-0.511,-0.259,-0.505,-0.606,-0.526,-0.62,-0.179,0,3.5
N2  ,Ti  ,-1.059,-0.367,-0.016,-0.323,-0.343,-0.414,-0.641,-0.197,0,4.33
N2  ,V  ,-1.135,-0.254,0.185,-0.135,-0.117,-0.255,-0.579,-0.184,0,4.3
N2  ,Cr  ,-0.879,0.159,0.662,0.326,0.409,0.174,-0.215,0.392,0,4.5
N2  ,Mn  ,-0.631,0.502,1.044,0.704,0.827,0.546,0.104,0.736,0,4.1
N2  ,Fe  ,-1.016,0.405,1.041,0.754,0.576,0.78,0.367,0.914,4.776,4.67
N2  ,Co  ,-0.27,0.954,1.524,1.166,1.201,1.193,0.735,1.117,3.639,5
N2  ,Ni  ,-0.044,1.042,1.57,1.208,1.321,1.012,0.602,1.037,2.262,5.04
N2  ,Cu  ,0.029,1,1.478,1.152,1.198,1.007,0.647,0.828,0,4.53
N2  ,Y  ,-0.906,-0.512,-0.321,-0.529,-0.601,-0.516,-0.592,-0.196,0,3.1
