Adsorbate,Surface Material,Group1,Covalent-Radius(pm)1,Atomic-Number1,Atomic-Mass(a.u)1,Period1,Electro-Negativity1,Ionization-Energy(kJmol-1)1,Enthalpy-of-Fusion(kJmol-1)1,Density(gcm-3)1,Group2,Covalent-Radius(pm)2,Atomic-Number2,Atomic-Mass(a.u)2,Period2,Electro-Negativity2,Ionization-Energy(kJmol-1)2,Enthalpy-of-Fusion(kJmol-1)2,Density(gcm-3)2,EXX-RPA,Work-Function-surface, Wigner
H  ,Sc  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,3,144,21,44.95591,4,1.36,630.8,15.8,2.99,0.637,3.5,3.43
H  ,Ti  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,4,132,22,47.867,4,1.54,657.8,18.8,4.54,0.601,4.33,3.05
H  ,V  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,5,122,23,50.9415,4,1.63,650.1,17.5,6.11,0.748,4.3,2.82
H  ,Cr  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,6,118,24,51.9996,4,1.66,652.4,21,7.18,0.792,4.5,2.68
H  ,Mn  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,7,117,25,54.93805,4,1.55,716.8,13.4,7.21,0.636,4.1,2.7
H  ,Fe  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,8,117,26,55.847,4,1.83,759.1,13.8,7.874,0.728,4.67,2.66
H  ,Co  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,9,116,27,58.9332,4,1.88,758.1,15.48,8.9,0.634,5,2.62
H  ,Ni  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,10,115,28,58.6934,4,1.91,736.2,17.61,8.902,0.432,5.04,2.6
H  ,Cu  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,11,117,29,63.546,4,1.9,745,13.01,8.96,0.73,4.53,2.67
H  ,Y  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,3,162,39,88.905,5,1.22,615.4,11.5,4.47,0.603,3.1,3.76
H  ,Zr  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,4,145,40,91.224,5,1.33,659.7,19,6.506,0.663,4.05,3.35
H  ,Nb  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,5,164,41,92.9026,5,1.6,663.6,26.8,8.57,0.661,3.95,3.07
H  ,Mo  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,6,130,42,95.96,5,2.16,684.8,28,10.22,0.603,4.36,2.99
H  ,Ru  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,8,125,44,101.07,5,2.2,710.3,25.5,12.41,0.222,4.71,2.79
H  ,Rh  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,9,125,45,102.9055,5,2.28,719.5,21.8,12.41,0.084,4.98,2.81
H  ,Pd  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,10,128,46,106.42,5,2.2,803.5,17.24,12.02,-0.076,5.22,2.87
H  ,Ag  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,11,134,47,107.8682,5,1.93,730.5,11.95,10.5,1.133,4.26,3.01
H  ,Hf  ,1,32,1,1.00794,1,2.2,1311.3,0.117,0.0708,4,144,72,178.49,6,1.3,575.2,25.1,13.31,0.62,3.9,3.3
