Adsorbate,Surface Material,Group,AM1,P1,delta fusion1,Group2, Wigner,surface free energy,EXX+RPA,LDA,LUMO
CO  ,Sc  ,4,12.011,2,117,3,3.43,0.785,-0.612,-1.478,-7.61
CO  ,Ti  ,4,12.011,2,117,4,3.05,0.968,-0.813,-1.676,-7.61
CO  ,V  ,4,12.011,2,117,5,2.82,1.148,-0.846,-1.873,-7.61
CO  ,Cr  ,4,12.011,2,117,6,2.68,1.158,-0.381,-1.751,-7.61
CO  ,Mn  ,4,12.011,2,117,7,2.7,1.11,-0.207,-1.613,-7.61
CO  ,Fe  ,4,12.011,2,117,8,2.66,0.997,-0.003,-2.014,-7.61
CO  ,Co  ,4,12.011,2,117,9,2.62,0.903,0.037,-1.435,-7.61
CO  ,Ni  ,4,12.011,2,117,10,2.6,0.84,0.341,-1.12,-7.61
CO  ,Cu  ,4,12.011,2,117,11,2.67,0.656,0.202,-0.74,-7.61
CO  ,Y  ,4,12.011,2,117,3,3.76,0.765,-0.603,-1.35,-7.61
CO  ,Zr  ,4,12.011,2,117,4,3.35,0.989,-0.7,-1.548,-7.61
CO  ,Nb  ,4,12.011,2,117,5,3.07,1.198,-1.138,-1.983,-7.61
CO  ,Mo  ,4,12.011,2,117,6,2.99,1.236,-1.114,-2.05,-7.61
CO  ,Ru  ,4,12.011,2,117,8,2.79,1.141,-0.923,-2.027,-7.61
CO  ,Rh  ,4,12.011,2,117,9,2.81,1.037,-0.936,-2.057,-7.61
CO  ,Pd  ,4,12.011,2,117,10,2.87,0.82,-0.67,-1.702,-7.61
CO  ,Ag  ,4,12.011,2,117,11,3.01,0.542,0.131,-0.706,-7.61
CO  ,Hf  ,4,12.011,2,117,4,3.3,1.027,-0.748,-1.619,-7.61
CO  ,Ta  ,4,12.011,2,117,5,3.07,1.319,-1.108,-2.047,-7.61
CO  ,W  ,4,12.011,2,117,6,2.95,1.428,-1.219,-2.236,-7.61
CO  ,Re  ,4,12.011,2,117,7,2.87,1.333,-1.206,-2.244,-7.61
CO  ,Os  ,4,12.011,2,117,8,2.83,1.326,-1.139,-2.214,-7.61
CO  ,Ir  ,4,12.011,2,117,9,2.84,1.237,-1.127,-2.279,-7.61
CO  ,Pt  ,4,12.011,2,117,10,2.9,0.937,-0.874,-1.998,-7.61
CO  ,Au  ,4,12.011,2,117,11,3,0.572,0.22,-0.706,-7.61
NO  ,Sc  ,7,14.00674,2,0.72,3,3.43,0.785,-1.622,-2.701,-1.1
NO  ,Ti  ,7,14.00674,2,0.72,4,3.05,0.968,-1.967,-3.137,-1.1
NO  ,V  ,7,14.00674,2,0.72,5,2.82,1.148,-2,-3.369,-1.1
NO  ,Cr  ,7,14.00674,2,0.72,6,2.68,1.158,-1.411,-3.213,-1.1
NO  ,Mn  ,7,14.00674,2,0.72,7,2.7,1.11,-0.99,-2.87,-1.1
NO  ,Fe  ,7,14.00674,2,0.72,8,2.66,0.997,-1.107,-3.085,-1.1
NO  ,Co  ,7,14.00674,2,0.72,9,2.62,0.903,-0.649,-2.326,-1.1
NO  ,Ni  ,7,14.00674,2,0.72,10,2.6,0.84,-0.409,-1.977,-1.1
NO  ,Cu  ,7,14.00674,2,0.72,11,2.67,0.656,-0.305,-1.583,-1.1
NO  ,Y  ,7,14.00674,2,0.72,3,3.76,0.765,-1.339,-2.367,-1.1
NO  ,Zr  ,7,14.00674,2,0.72,4,3.35,0.989,-1.686,-2.812,-1.1
NO  ,Nb  ,7,14.00674,2,0.72,5,3.07,1.198,-1.929,-3.245,-1.1
NO  ,Mo  ,7,14.00674,2,0.72,6,2.99,1.236,-1.959,-3.399,-1.1
NO  ,Ru  ,7,14.00674,2,0.72,8,2.79,1.141,-1.223,-2.753,-1.1
NO  ,Rh  ,7,14.00674,2,0.72,9,2.81,1.037,-0.779,-2.342,-1.1
NO  ,Pd  ,7,14.00674,2,0.72,10,2.87,0.82,-0.579,-1.832,-1.1
NO  ,Ag  ,7,14.00674,2,0.72,11,3.01,0.542,-0.063,-1.031,-1.1
NO  ,Hf  ,7,14.00674,2,0.72,4,3.3,1.027,-1.751,-2.892,-1.1
NO  ,Ta  ,7,14.00674,2,0.72,5,3.07,1.319,-1.961,-3.299,-1.1
NO  ,W  ,7,14.00674,2,0.72,6,2.95,1.428,-2.031,-3.483,-1.1
NO  ,Re  ,7,14.00674,2,0.72,7,2.87,1.333,-1.56,-3.103,-1.1
NO  ,Os  ,7,14.00674,2,0.72,8,2.83,1.326,-1.431,-2.827,-1.1
NO  ,Ir  ,7,14.00674,2,0.72,9,2.84,1.237,-0.829,-2.451,-1.1
NO  ,Pt  ,7,14.00674,2,0.72,10,2.9,0.937,-0.422,-1.85,-1.1
NO  ,Au  ,7,14.00674,2,0.72,11,3,0.572,-0.038,-0.719,-1.1
OH  ,Sc  ,1,1.00794,1,0.117,3,3.43,0.785,-1.31,-1.597,6.8
OH  ,Ti  ,1,1.00794,1,0.117,4,3.05,0.968,-1.085,-1.329,6.8
OH  ,V  ,1,1.00794,1,0.117,5,2.82,1.148,-0.256,-0.779,6.8
OH  ,Cr  ,1,1.00794,1,0.117,6,2.68,1.158,0.814,0.013,6.8
OH  ,Mn  ,1,1.00794,1,0.117,7,2.7,1.11,1.241,0.46,6.8
OH  ,Fe  ,1,1.00794,1,0.117,8,2.66,0.997,1.527,0.467,6.8
OH  ,Co  ,1,1.00794,1,0.117,9,2.62,0.903,1.686,1.193,6.8
OH  ,Ni  ,1,1.00794,1,0.117,10,2.6,0.84,1.997,1.52,6.8
OH  ,Cu  ,1,1.00794,1,0.117,11,2.67,0.656,2.163,1.782,6.8
OH  ,Y  ,1,1.00794,1,0.117,3,3.76,0.765,-1.428,-1.591,6.8
OH  ,Zr  ,1,1.00794,1,0.117,4,3.35,0.989,-1.339,-1.499,6.8
OH  ,Nb  ,1,1.00794,1,0.117,5,3.07,1.198,-0.804,-1.134,6.8
OH  ,Mo  ,1,1.00794,1,0.117,6,2.99,1.236,-0.073,-0.503,6.8
OH  ,Ru  ,1,1.00794,1,0.117,8,2.79,1.141,1.148,0.622,6.8
